promo_id,game_id,season,game_date,homestand_id,opponent,day_of_week,weekend_flag,promo_name,promo_category,promo_type,primary_promo_flag,sponsor_attached_flag,giveaway_flag,fireworks_flag,theme_night_flag,family_flag,dog_day_flag,jersey_auction_flag,expected_fan_segment,public_announced_attendance,tickets_sold,scanned_attendance,scan_rate,no_show_ticket_quantity,no_show_rate,ticket_order_count,unique_ticket_buyers,repeat_buyer_count,repeat_buyer_rate,group_tickets,group_revenue,merch_net_sales,concession_net_sales,revenue_per_scanned_fan,merch_per_scanned_fan,concession_per_scanned_fan,in_park_spend_per_scanned_fan,total_revenue_indicator,fan_engagement_count,unique_engaged_fans,avg_engagement_score,follow_up_opportunity_count,high_priority_opportunity_count,crm_follow_up_task_count,future_revenue_opportunity,baseline_scanned_attendance,baseline_merch_per_scanned_fan,baseline_concession_per_scanned_fan,baseline_revenue_per_scanned_fan,baseline_repeat_buyer_rate,scanned_attendance_lift_vs_slot,merch_lift_per_scanned_fan,concession_lift_per_scanned_fan,revenue_lift_per_scanned_fan,repeat_buyer_rate_lift_vs_slot,total_value_index,recommendation,recommendation_reason
PROMO_00001,TP_2023_001,2023,2023-04-06,2023_HS_01,Chattanooga,Thursday,False,Pregame Happy Hour,weekly_promo,happy_hour,True,False,False,False,False,False,False,False,adult_social_fans,5264,1996,1690,0.8467,306,0.1533,295,66,0,0.0,1120,15202.91,2487.95,6932.63,17.2,1.47,4.1,5.57,38484.33,126,44,28.1746,32,20,7,5982.35,4527,1.26,4.39,18.5,0.8373,-2837,0.21,-0.29,-1.31,-0.8373,16.6,retire,"Weak total value with negative attendance, revenue, and repeat buyer signals"
PROMO_00002,TP_2023_001,2023,2023-04-06,2023_HS_01,Chattanooga,Thursday,False,Burgers and Buds Thursday,weekly_promo,concession_value_offer,False,False,False,False,False,False,False,False,concession_value_seekers,5264,1996,1690,0.8467,306,0.1533,295,66,0,0.0,1120,15202.91,2487.95,6932.63,17.2,1.47,4.1,5.57,38484.33,126,44,28.1746,32,20,7,5982.35,4527,1.26,4.39,18.5,0.8373,-2837,0.21,-0.29,-1.31,-0.8373,16.6,retire,"Weak total value with negative attendance, revenue, and repeat buyer signals"
PROMO_00003,TP_2023_002,2023,2023-04-07,2023_HS_01,Chattanooga,Friday,True,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,0,1922,1773,0.9225,149,0.0775,432,86,24,0.2791,598,8711.7,2751.42,9233.79,19.93,1.55,5.21,6.76,47321.98,173,56,26.0289,20,17,7,6665.12,6716,1.89,5.34,19.28,0.877,-4944,-0.34,-0.14,0.65,-0.598,19.5,review,Mixed performance; needs review before committing future promo inventory
PROMO_00004,TP_2023_003,2023,2023-04-08,2023_HS_01,Chattanooga,Saturday,True,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,4625,2722,2558,0.9398,164,0.0602,620,121,60,0.4959,784,10984.75,4506.68,12905.12,18.46,1.76,5.05,6.81,64626.58,262,92,25.8282,21,14,5,4651.75,7110,1.8,5.15,19.17,0.9054,-4552,-0.04,-0.11,-0.72,-0.4095,25.4,retire,"Weak total value with negative attendance, revenue, and repeat buyer signals"
PROMO_00005,TP_2023_004,2023,2023-04-18,2023_HS_02,Biloxi,Tuesday,False,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,4774,5636,4531,0.8039,1105,0.1961,1523,438,83,0.1895,825,10186.87,6558.94,20842.19,19.57,1.45,4.6,6.05,116055.36,503,265,26.5666,30,16,6,4030.97,4627,1.26,4.47,19.43,0.7766,-96,0.18,0.13,0.14,-0.5871,30.9,review,Mixed performance; needs review before committing future promo inventory
PROMO_00006,TP_2023_006,2023,2023-04-20,2023_HS_02,Biloxi,Thursday,False,Pregame Happy Hour,weekly_promo,happy_hour,True,False,False,False,False,False,False,False,adult_social_fans,4513,6006,5069,0.844,937,0.156,1618,520,430,0.8269,846,10402.94,5754.45,23701.01,18.27,1.14,4.68,5.81,122058.05,602,293,26.6312,24,18,3,5206.43,4527,1.26,4.39,18.5,0.8373,542,-0.12,0.29,-0.24,-0.0104,34.9,review,Mixed performance; needs review before committing future promo inventory
PROMO_00007,TP_2023_006,2023,2023-04-20,2023_HS_02,Biloxi,Thursday,False,Burgers and Buds Thursday,weekly_promo,concession_value_offer,False,False,False,False,False,False,False,False,concession_value_seekers,4513,6006,5069,0.844,937,0.156,1618,520,430,0.8269,846,10402.94,5754.45,23701.01,18.27,1.14,4.68,5.81,122058.05,602,293,26.6312,24,18,3,5206.43,4527,1.26,4.39,18.5,0.8373,542,-0.12,0.29,-0.24,-0.0104,34.9,review,Mixed performance; needs review before committing future promo inventory
PROMO_00008,TP_2023_007,2023,2023-04-21,2023_HS_02,Biloxi,Friday,True,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,0,6725,6325,0.9405,400,0.0595,1876,539,485,0.8998,739,8713.6,11153.91,33389.49,19.59,1.76,5.28,7.04,168437.0,720,325,26.0472,17,11,2,2378.36,6716,1.89,5.34,19.28,0.877,-392,-0.13,-0.07,0.31,0.0228,50.1,review,Mixed performance; needs review before committing future promo inventory
PROMO_00009,TP_2023_008,2023,2023-04-22,2023_HS_02,Biloxi,Saturday,True,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,5932,7946,7452,0.9378,494,0.0622,2122,575,510,0.887,1081,11958.86,14386.61,36917.16,19.17,1.93,4.95,6.88,194183.03,801,347,24.7541,29,23,12,8791.08,7110,1.8,5.15,19.17,0.9054,342,0.13,-0.2,-0.0,-0.0184,57.2,rework,"Shows value, but one or more connected metrics need improvement"
PROMO_00010,TP_2023_009,2023,2023-04-23,2023_HS_02,Biloxi,Sunday,True,Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,5148,6649,5903,0.8878,746,0.1122,1905,601,528,0.8785,700,8937.28,9071.0,32381.04,17.54,1.54,5.49,7.02,144971.61,729,350,27.1687,29,21,5,6727.63,5532,1.55,5.51,17.87,0.943,371,-0.01,-0.02,-0.33,-0.0645,45.0,review,Mixed performance; needs review before committing future promo inventory
