attendance_id,game_id,season,game_date,opponent,announced_attendance,attendance_source,attendance_match_status,actual_home_game_records,attendance_note,public_data_flag
ATT_TP_2023_001,TP_2023_001,2023,2023-04-06,Chattanooga,5264,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_002,TP_2023_002,2023,2023-04-07,Chattanooga,,,unmatched,,"No exact date/opponent match to public game log; schedule change, postponement, doubleheader, or unmatched public record",True
ATT_TP_2023_003,TP_2023_003,2023,2023-04-08,Chattanooga,4625,SRC_2023_TBC_GAME_LOG,matched,2,Exact date/opponent match to public game log,True
ATT_TP_2023_004,TP_2023_004,2023,2023-04-18,Biloxi,4774,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_005,TP_2023_005,2023,2023-04-19,Biloxi,3657,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_006,TP_2023_006,2023,2023-04-20,Biloxi,4513,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_007,TP_2023_007,2023,2023-04-21,Biloxi,,,unmatched,,"No exact date/opponent match to public game log; schedule change, postponement, doubleheader, or unmatched public record",True
ATT_TP_2023_008,TP_2023_008,2023,2023-04-22,Biloxi,5932,SRC_2023_TBC_GAME_LOG,matched,2,Exact date/opponent match to public game log,True
ATT_TP_2023_009,TP_2023_009,2023,2023-04-23,Biloxi,5148,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_010,TP_2023_010,2023,2023-05-02,Tennessee,3547,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_011,TP_2023_011,2023,2023-05-03,Tennessee,5876,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_012,TP_2023_012,2023,2023-05-04,Tennessee,5767,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_013,TP_2023_013,2023,2023-05-05,Tennessee,4498,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_014,TP_2023_014,2023,2023-05-06,Tennessee,5968,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_015,TP_2023_015,2023,2023-05-07,Tennessee,4860,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_016,TP_2023_016,2023,2023-05-16,Birmingham,3801,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_017,TP_2023_017,2023,2023-05-17,Birmingham,3872,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_018,TP_2023_018,2023,2023-05-18,Birmingham,3315,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_019,TP_2023_019,2023,2023-05-19,Birmingham,6075,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_020,TP_2023_020,2023,2023-05-20,Birmingham,5562,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_021,TP_2023_021,2023,2023-05-21,Birmingham,4216,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_022,TP_2023_022,2023,2023-05-23,Chattanooga,4296,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_023,TP_2023_023,2023,2023-05-24,Chattanooga,4583,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_024,TP_2023_024,2023,2023-05-25,Chattanooga,4018,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_025,TP_2023_025,2023,2023-05-26,Chattanooga,5349,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_026,TP_2023_026,2023,2023-05-27,Chattanooga,5966,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_027,TP_2023_027,2023,2023-05-28,Chattanooga,6041,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_028,TP_2023_028,2023,2023-06-06,Tennessee,3906,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_029,TP_2023_029,2023,2023-06-07,Tennessee,3824,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_030,TP_2023_030,2023,2023-06-08,Tennessee,5054,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_031,TP_2023_031,2023,2023-06-09,Tennessee,6393,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_032,TP_2023_032,2023,2023-06-10,Tennessee,6748,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_033,TP_2023_033,2023,2023-06-11,Tennessee,4120,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_034,TP_2023_034,2023,2023-06-20,Montgomery,,,unmatched,,"No exact date/opponent match to public game log; schedule change, postponement, doubleheader, or unmatched public record",True
ATT_TP_2023_035,TP_2023_035,2023,2023-06-21,Montgomery,,,unmatched,,"No exact date/opponent match to public game log; schedule change, postponement, doubleheader, or unmatched public record",True
ATT_TP_2023_036,TP_2023_036,2023,2023-06-22,Montgomery,4835,SRC_2023_TBC_GAME_LOG,matched,2,Exact date/opponent match to public game log,True
ATT_TP_2023_037,TP_2023_037,2023,2023-06-23,Montgomery,5970,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_038,TP_2023_038,2023,2023-06-24,Montgomery,6683,SRC_2023_TBC_GAME_LOG,matched,2,Exact date/opponent match to public game log,True
ATT_TP_2023_039,TP_2023_039,2023,2023-06-25,Montgomery,4384,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_040,TP_2023_040,2023,2023-07-04,Chattanooga,7500,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_041,TP_2023_041,2023,2023-07-05,Chattanooga,4150,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_042,TP_2023_042,2023,2023-07-06,Chattanooga,4046,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_043,TP_2023_043,2023,2023-07-07,Chattanooga,6007,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_044,TP_2023_044,2023,2023-07-08,Chattanooga,5058,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_045,TP_2023_045,2023,2023-07-09,Chattanooga,4424,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_046,TP_2023_046,2023,2023-07-25,Tennessee,4408,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_047,TP_2023_047,2023,2023-07-26,Tennessee,5168,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_048,TP_2023_048,2023,2023-07-27,Tennessee,4130,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_049,TP_2023_049,2023,2023-07-28,Tennessee,6237,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_050,TP_2023_050,2023,2023-07-29,Tennessee,6456,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_051,TP_2023_051,2023,2023-07-30,Tennessee,4950,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_052,TP_2023_052,2023,2023-08-08,Mississippi,3657,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_053,TP_2023_053,2023,2023-08-09,Mississippi,,,unmatched,,"No exact date/opponent match to public game log; schedule change, postponement, doubleheader, or unmatched public record",True
ATT_TP_2023_054,TP_2023_054,2023,2023-08-10,Mississippi,3305,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_055,TP_2023_055,2023,2023-08-11,Mississippi,5595,SRC_2023_TBC_GAME_LOG,matched,2,Exact date/opponent match to public game log,True
ATT_TP_2023_056,TP_2023_056,2023,2023-08-12,Mississippi,6435,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_057,TP_2023_057,2023,2023-08-13,Mississippi,,,unmatched,,"No exact date/opponent match to public game log; schedule change, postponement, doubleheader, or unmatched public record",True
ATT_TP_2023_058,TP_2023_058,2023,2023-08-22,Birmingham,4115,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_059,TP_2023_059,2023,2023-08-23,Birmingham,3863,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_060,TP_2023_060,2023,2023-08-24,Birmingham,3757,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_061,TP_2023_061,2023,2023-08-25,Birmingham,4742,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_062,TP_2023_062,2023,2023-08-26,Birmingham,6019,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_063,TP_2023_063,2023,2023-08-27,Birmingham,4164,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_064,TP_2023_064,2023,2023-09-05,Pensacola,4412,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_065,TP_2023_065,2023,2023-09-06,Pensacola,2982,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_066,TP_2023_066,2023,2023-09-07,Pensacola,4388,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_067,TP_2023_067,2023,2023-09-08,Pensacola,6137,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_068,TP_2023_068,2023,2023-09-09,Pensacola,5843,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2023_069,TP_2023_069,2023,2023-09-10,Pensacola,4729,SRC_2023_TBC_GAME_LOG,matched,1,Exact date/opponent match to public game log,True
ATT_TP_2024_001,TP_2024_001,2024,2024-04-09,Birmingham,,,unmatched,,"No exact date/opponent match to public game log; schedule change, postponement, doubleheader, or unmatched public record",True
