promo_id,game_id,season,game_date,promo_name,promo_category,promo_type,primary_promo_flag,sponsor_attached_flag,giveaway_flag,fireworks_flag,theme_night_flag,family_flag,dog_day_flag,jersey_auction_flag,expected_fan_segment,source_id,public_data_flag,notes
PROMO_00001,TP_2023_001,2023,2023-04-06,Pregame Happy Hour,weekly_promo,happy_hour,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2023_WEEKLY_PROMOS,True,2023 Thursday weekly promotion
PROMO_00002,TP_2023_001,2023,2023-04-06,Burgers and Buds Thursday,weekly_promo,concession_value_offer,False,False,False,False,False,False,False,False,concession_value_seekers,SRC_2023_WEEKLY_PROMOS,True,2023 Thursday concession offer
PROMO_00003,TP_2023_002,2023,2023-04-07,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2023_WEEKLY_PROMOS,True,2023 Friday and Saturday fireworks
PROMO_00004,TP_2023_003,2023,2023-04-08,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2023_WEEKLY_PROMOS,True,2023 Friday and Saturday fireworks
PROMO_00005,TP_2023_004,2023,2023-04-18,Ladies Night,weekly_promo,ladies_night,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2023_WEEKLY_PROMOS,True,2023 Tuesday weekly promotion
PROMO_00006,TP_2023_006,2023,2023-04-20,Pregame Happy Hour,weekly_promo,happy_hour,True,False,False,False,False,False,False,False,adult_social_fans,SRC_2023_WEEKLY_PROMOS,True,2023 Thursday weekly promotion
PROMO_00007,TP_2023_006,2023,2023-04-20,Burgers and Buds Thursday,weekly_promo,concession_value_offer,False,False,False,False,False,False,False,False,concession_value_seekers,SRC_2023_WEEKLY_PROMOS,True,2023 Thursday concession offer
PROMO_00008,TP_2023_007,2023,2023-04-21,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2023_WEEKLY_PROMOS,True,2023 Friday and Saturday fireworks
PROMO_00009,TP_2023_008,2023,2023-04-22,Postgame Fireworks,fireworks,fireworks,True,False,False,True,False,False,False,False,families,SRC_2023_WEEKLY_PROMOS,True,2023 Friday and Saturday fireworks
PROMO_00010,TP_2023_009,2023,2023-04-23,Kids Run The Bases,family,kids_run_bases,True,False,False,False,False,True,False,False,families,SRC_2023_WEEKLY_PROMOS,True,2023 Sunday weekly promotion
PROMO_00011,TP_2023_009,2023,2023-04-23,Military Sunday,community,military_recognition,False,False,False,False,False,False,False,False,military_families,SRC_2023_WEEKLY_PROMOS,True,2023 Sunday military recognition
