game_date,season,month_name,opponent,tbc_home_away,result,score,attendance,time_of_game,team_record_after_game,ballpark,location,is_toyota_field_game,source_name
2023-04-06,2023,April,Chattanooga Lookouts,Home,L,3-6,5264,3:14,0-1,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-04-08,2023,April,Chattanooga Lookouts,Home,L,5-7,0,2:17,0-2,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-04-08,2023,April,Chattanooga Lookouts,Home,W,3-0,4625,1:35,1-2,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-04-18,2023,April,Biloxi Shuckers,Home,W,9-2,4774,2:28,7-3,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-04-19,2023,April,Biloxi Shuckers,Home,L,1-7,3657,2:58,7-4,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-04-20,2023,April,Biloxi Shuckers,Home,W,5-3,4513,2:28,8-4,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-04-22,2023,April,Biloxi Shuckers,Home,L,4-12,0,2:30,8-5,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-04-22,2023,April,Biloxi Shuckers,Home,L,0-8,5932,2:08,8-6,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-04-23,2023,April,Biloxi Shuckers,Home,L,3-7,5148,2:19,8-7,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-05-02,2023,May,Tennessee Smokies,Home,L,2-13,3547,2:35,12-10,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-05-03,2023,May,Tennessee Smokies,Home,L,6-7,5876,2:46,12-11,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-05-04,2023,May,Tennessee Smokies,Home,L,2-19,5767,2:51,12-12,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-05-05,2023,May,Tennessee Smokies,Home,W,6-2,4498,2:41,13-12,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-05-06,2023,May,Tennessee Smokies,Home,L,4-5,5968,2:47,13-13,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-05-07,2023,May,Tennessee Smokies,Home,W,5-4,4860,2:12,14-13,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-05-16,2023,May,Birmingham Barons,Home,W,8-6,3801,2:54,17-17,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-05-17,2023,May,Birmingham Barons,Home,L,2-3,3872,2:46,17-18,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-05-18,2023,May,Birmingham Barons,Home,L,0-6,3315,2:34,17-19,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-05-19,2023,May,Birmingham Barons,Home,W,6-1,6075,2:22,18-19,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-05-20,2023,May,Birmingham Barons,Home,W,5-1,5562,2:15,19-19,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-05-21,2023,May,Birmingham Barons,Home,W,11-10,4216,2:43,20-19,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-05-23,2023,May,Chattanooga Lookouts,Home,L,6-8,4296,3:37,20-20,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-05-24,2023,May,Chattanooga Lookouts,Home,L,4-6,4583,2:50,20-21,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-05-25,2023,May,Chattanooga Lookouts,Home,L,4-5,4018,2:52,20-22,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-05-26,2023,May,Chattanooga Lookouts,Home,L,5-6,5349,2:52,20-23,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-05-27,2023,May,Chattanooga Lookouts,Home,W,5-2,5966,2:05,21-23,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-05-28,2023,May,Chattanooga Lookouts,Home,L,3-5,6041,2:48,21-24,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-06-06,2023,June,Tennessee Smokies,Home,L,5-8,3906,2:44,24-28,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
2023-06-07,2023,June,Tennessee Smokies,Home,L,2-11,3824,2:40,24-29,Toyota,"Field Madison,Alabama",1,the_baseball_cube_minor_game_log
