game_date,season,promo_name,promo_category,promo_audience,sponsor,is_fireworks,is_giveaway,is_theme_night,is_weekly_promo,is_group_sales,is_community,is_appearance,is_jersey_auction,source_name
2023-04-06,2023,Opening Night Celebration,theme_night,General,Booz Allen Hamilton,0,0,1,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-04-06,2023,Postgame Fireworks,fireworks,General,Booz Allen Hamilton,1,0,0,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-04-06,2023,2023 Magnet Schedule Giveaway,giveaway,General,Lexus of Huntsville,0,1,0,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-04-07,2023,Friday Night Fireworks,fireworks,General,,1,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-04-08,2023,Saturday Night Fireworks,fireworks,General,,1,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-04-18,2023,Logan O’Hoppe Bobblehead,giveaway,Adults 18+,Trustmark,0,1,0,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-04-18,2023,Utility Worker Appreciation Day,appreciation,Utility workers / community,Huntsville Utilities,0,0,0,0,0,1,0,0,MiLB 2023 Promotional Schedule
2023-04-19,2023,Education Day,education,Schools / students,,0,0,0,0,1,1,0,0,MiLB 2023 Promotional Schedule
2023-04-20,2023,Raise The Roof T-Shirt Giveaway,giveaway,Adults 18+,Storm Guard Roofing,0,1,0,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-04-20,2023,Dance Team Night 1,theme_night,Dance teams / families,,0,0,1,0,1,0,0,0,MiLB 2023 Promotional Schedule
2023-04-21,2023,Friday Night Fireworks,fireworks,General,Outdoor Alabama,1,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-04-22,2023,Earth Day Celebration,theme_night,General / community,Tennessee Valley Authority,0,0,1,0,0,1,0,0,MiLB 2023 Promotional Schedule
2023-04-22,2023,Saturday Night Fireworks,fireworks,General,Tennessee Valley Authority,1,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-04-23,2023,Sprocket On The Move Bobblehead,giveaway,Kids 17 and under,Huntsville/Madison County Convention and Visitors Bureau,0,1,0,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-04-23,2023,4x4 Night,theme_night,Automotive / outdoor fans,,0,0,1,0,1,0,0,0,MiLB 2023 Promotional Schedule
2023-04-23,2023,Kids Run The Bases,weekly_promo,Kids / families,,0,0,0,1,0,0,0,0,MiLB 2023 Weekly Promotions
2023-05-02,2023,Astronaut Racer Neil Socks Giveaway,giveaway,Kids 17 and under,WAAY 31,0,1,0,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-02,2023,Teacher Appreciation Day,appreciation,Teachers / schools,,0,0,0,0,0,1,0,0,MiLB 2023 Promotional Schedule
2023-05-03,2023,Education Day,education,Schools / students,,0,0,0,0,1,1,0,0,MiLB 2023 Promotional Schedule
2023-05-04,2023,Star Wars Night,theme_night,General / pop culture fans,,0,0,1,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-04,2023,Star Wars Jersey Auction,jersey_auction,General / collectors,,0,0,1,0,0,0,0,1,MiLB 2023 Promotional Schedule
2023-05-04,2023,Panda Wars Commemorative Cup Giveaway,giveaway,Adults 18+,Huntsville Compounding Pharmacy,0,1,0,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-05,2023,Cinco de Mayo Celebration,theme_night,General,,0,0,1,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-05,2023,Friday Night Fireworks,fireworks,General,,1,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-06,2023,Saturday Night Fireworks,fireworks,General,Bill Penney Toyota,1,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-07,2023,Nurses Day,appreciation,Healthcare workers / nurses,,0,0,0,0,0,1,0,0,MiLB 2023 Promotional Schedule
2023-05-07,2023,Kids Run The Bases,weekly_promo,Kids / families,,0,0,0,1,0,0,0,0,MiLB 2023 Weekly Promotions
2023-05-16,2023,Bryce Teodosio Inside-The-Park Home Run Bobblehead,giveaway,Adults 18+,SportsMED,0,1,0,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-16,2023,Martian Arts Night,theme_night,General,,0,0,1,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-17,2023,All You Can Eat Wednesday,weekly_promo,General / value buyers,,0,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-17,2023,Dog Day,weekly_promo,Dog owners / families,,0,0,0,1,0,1,0,0,MiLB 2023 Promotional Schedule
2023-05-18,2023,Pregame Happy Hour,weekly_promo,Adults 21+,Inline Electric,0,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-18,2023,Burgers and Buds Thursday,weekly_promo,Adults 21+ / value buyers,,0,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-19,2023,Scout Night,theme_night,Scouts / families,,0,0,1,0,1,0,0,0,MiLB 2023 Promotional Schedule
2023-05-19,2023,Friday Night Fireworks,fireworks,General,,1,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-20,2023,Armed Forces Day,appreciation,Military / families,,0,0,1,0,0,1,0,0,MiLB 2023 Promotional Schedule
2023-05-20,2023,Armed Forces Jersey Auction,jersey_auction,Military / collectors,,0,0,1,0,0,0,0,1,MiLB 2023 Promotional Schedule
2023-05-20,2023,Saturday Night Fireworks,fireworks,General,,1,0,0,1,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-21,2023,Sprocket Bank Giveaway,giveaway,Kids 17 and under,Crestwood Medical Center,0,1,0,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-21,2023,Kids Run The Bases,weekly_promo,Kids / families,,0,0,0,1,0,0,0,0,MiLB 2023 Weekly Promotions
2023-05-23,2023,Astronaut Racer Buzz Socks Giveaway,giveaway,Kids 17 and under,WayFM,0,1,0,0,0,0,0,0,MiLB 2023 Promotional Schedule
2023-05-23,2023,Faith Night,theme_night,Faith groups / families,,0,0,1,0,1,1,0,0,MiLB 2023 Promotional Schedule
