game_id,date,season,opponent_code,opponent,home_away,game_time,day_of_week,month,promotion_flag,promotion_type,source
RCT_2023_001,2023-04-06,2023,CHA,Chattanooga Lookouts,Home,6:35 PM CT,Thursday,April,yes,fireworks,official_2023_printable_schedule_pdf
RCT_2023_002,2023-04-07,2023,CHA,Chattanooga Lookouts,Home,6:35 PM CT,Friday,April,yes,fireworks,official_2023_printable_schedule_pdf
RCT_2023_003,2023-04-08,2023,CHA,Chattanooga Lookouts,Home,6:35 PM CT,Saturday,April,yes,fireworks,official_2023_printable_schedule_pdf
RCT_2023_004,2023-04-11,2023,BIR,Birmingham Barons,Away,,Tuesday,April,no,,official_2023_printable_schedule_pdf
RCT_2023_005,2023-04-12,2023,BIR,Birmingham Barons,Away,,Wednesday,April,no,,official_2023_printable_schedule_pdf
RCT_2023_006,2023-04-13,2023,BIR,Birmingham Barons,Away,,Thursday,April,no,,official_2023_printable_schedule_pdf
RCT_2023_007,2023-04-14,2023,BIR,Birmingham Barons,Away,,Friday,April,no,,official_2023_printable_schedule_pdf
RCT_2023_008,2023-04-15,2023,BIR,Birmingham Barons,Away,,Saturday,April,no,,official_2023_printable_schedule_pdf
RCT_2023_009,2023-04-16,2023,BIR,Birmingham Barons,Away,,Sunday,April,no,,official_2023_printable_schedule_pdf
RCT_2023_010,2023-04-18,2023,BLX,Biloxi Shuckers,Home,6:05 PM CT,Tuesday,April,no,,official_2023_printable_schedule_pdf
RCT_2023_011,2023-04-19,2023,BLX,Biloxi Shuckers,Home,11:05 AM CT,Wednesday,April,no,,official_2023_printable_schedule_pdf
RCT_2023_012,2023-04-20,2023,BLX,Biloxi Shuckers,Home,6:35 PM CT,Thursday,April,no,,official_2023_printable_schedule_pdf
RCT_2023_013,2023-04-21,2023,BLX,Biloxi Shuckers,Home,6:35 PM CT,Friday,April,yes,fireworks,official_2023_printable_schedule_pdf
RCT_2023_014,2023-04-22,2023,BLX,Biloxi Shuckers,Home,6:35 PM CT,Saturday,April,yes,fireworks,official_2023_printable_schedule_pdf
RCT_2023_015,2023-04-23,2023,BLX,Biloxi Shuckers,Home,2:35 PM CT,Sunday,April,no,,official_2023_printable_schedule_pdf
RCT_2023_016,2023-04-25,2023,CHA,Chattanooga Lookouts,Away,,Tuesday,April,no,,official_2023_printable_schedule_pdf
RCT_2023_017,2023-04-26,2023,CHA,Chattanooga Lookouts,Away,,Wednesday,April,no,,official_2023_printable_schedule_pdf
RCT_2023_018,2023-04-27,2023,CHA,Chattanooga Lookouts,Away,,Thursday,April,no,,official_2023_printable_schedule_pdf
RCT_2023_019,2023-04-28,2023,CHA,Chattanooga Lookouts,Away,,Friday,April,no,,official_2023_printable_schedule_pdf
RCT_2023_020,2023-04-29,2023,CHA,Chattanooga Lookouts,Away,,Saturday,April,no,,official_2023_printable_schedule_pdf
RCT_2023_021,2023-04-30,2023,CHA,Chattanooga Lookouts,Away,,Sunday,April,no,,official_2023_printable_schedule_pdf
RCT_2023_022,2023-05-02,2023,TNS,Tennessee Smokies,Home,6:05 PM CT,Tuesday,May,no,,official_2023_printable_schedule_pdf
RCT_2023_023,2023-05-03,2023,TNS,Tennessee Smokies,Home,11:05 AM CT,Wednesday,May,no,,official_2023_printable_schedule_pdf
RCT_2023_024,2023-05-04,2023,TNS,Tennessee Smokies,Home,6:35 PM CT,Thursday,May,no,,official_2023_printable_schedule_pdf
RCT_2023_025,2023-05-05,2023,TNS,Tennessee Smokies,Home,6:35 PM CT,Friday,May,yes,fireworks,official_2023_printable_schedule_pdf
RCT_2023_026,2023-05-06,2023,TNS,Tennessee Smokies,Home,6:35 PM CT,Saturday,May,yes,fireworks,official_2023_printable_schedule_pdf
RCT_2023_027,2023-05-07,2023,TNS,Tennessee Smokies,Home,2:35 PM CT,Sunday,May,no,,official_2023_printable_schedule_pdf
RCT_2023_028,2023-05-09,2023,BLX,Biloxi Shuckers,Away,,Tuesday,May,no,,official_2023_printable_schedule_pdf
RCT_2023_029,2023-05-10,2023,BLX,Biloxi Shuckers,Away,,Wednesday,May,no,,official_2023_printable_schedule_pdf
RCT_2023_030,2023-05-11,2023,BLX,Biloxi Shuckers,Away,,Thursday,May,no,,official_2023_printable_schedule_pdf
RCT_2023_031,2023-05-12,2023,BLX,Biloxi Shuckers,Away,,Friday,May,no,,official_2023_printable_schedule_pdf
RCT_2023_032,2023-05-13,2023,BLX,Biloxi Shuckers,Away,,Saturday,May,no,,official_2023_printable_schedule_pdf
RCT_2023_033,2023-05-14,2023,BLX,Biloxi Shuckers,Away,,Sunday,May,no,,official_2023_printable_schedule_pdf
RCT_2023_034,2023-05-16,2023,BIR,Birmingham Barons,Home,6:35 PM CT,Tuesday,May,no,,official_2023_printable_schedule_pdf
RCT_2023_035,2023-05-17,2023,BIR,Birmingham Barons,Home,6:35 PM CT,Wednesday,May,no,,official_2023_printable_schedule_pdf
RCT_2023_036,2023-05-18,2023,BIR,Birmingham Barons,Home,6:35 PM CT,Thursday,May,no,,official_2023_printable_schedule_pdf
