game_id,game_date,season,opponent_code,opponent,home_away,game_time,day_of_week,month_name,promotion_flag,promotion_type,source
RCT_2024_001,2024-04-05,2024,TNS,Tennessee Smokies,Away,,Friday,April,no,,official_2024_printable_schedule_pdf
RCT_2024_002,2024-04-06,2024,TNS,Tennessee Smokies,Away,,Saturday,April,no,,official_2024_printable_schedule_pdf
RCT_2024_003,2024-04-07,2024,TNS,Tennessee Smokies,Away,,Sunday,April,no,,official_2024_printable_schedule_pdf
RCT_2024_004,2024-04-09,2024,BIR,Birmingham Barons,Home,6:35 PM CT,Tuesday,April,yes,fireworks,official_2024_printable_schedule_pdf
RCT_2024_005,2024-04-10,2024,BIR,Birmingham Barons,Home,6:35 PM CT,Wednesday,April,no,,official_2024_printable_schedule_pdf
RCT_2024_006,2024-04-11,2024,BIR,Birmingham Barons,Home,6:35 PM CT,Thursday,April,no,,official_2024_printable_schedule_pdf
RCT_2024_007,2024-04-12,2024,BIR,Birmingham Barons,Home,6:35 PM CT,Friday,April,yes,fireworks,official_2024_printable_schedule_pdf
RCT_2024_008,2024-04-13,2024,BIR,Birmingham Barons,Home,6:35 PM CT,Saturday,April,yes,fireworks,official_2024_printable_schedule_pdf
RCT_2024_009,2024-04-14,2024,BIR,Birmingham Barons,Home,2:35 PM CT,Sunday,April,no,,official_2024_printable_schedule_pdf
RCT_2024_010,2024-04-16,2024,PNS,Pensacola Blue Wahoos,Away,,Tuesday,April,no,,official_2024_printable_schedule_pdf
RCT_2024_011,2024-04-17,2024,PNS,Pensacola Blue Wahoos,Away,,Wednesday,April,no,,official_2024_printable_schedule_pdf
RCT_2024_012,2024-04-18,2024,PNS,Pensacola Blue Wahoos,Away,,Thursday,April,no,,official_2024_printable_schedule_pdf
RCT_2024_013,2024-04-19,2024,PNS,Pensacola Blue Wahoos,Away,,Friday,April,no,,official_2024_printable_schedule_pdf
RCT_2024_014,2024-04-20,2024,PNS,Pensacola Blue Wahoos,Away,,Saturday,April,no,,official_2024_printable_schedule_pdf
RCT_2024_015,2024-04-21,2024,PNS,Pensacola Blue Wahoos,Away,,Sunday,April,no,,official_2024_printable_schedule_pdf
RCT_2024_016,2024-04-23,2024,TNS,Tennessee Smokies,Home,6:05 PM CT,Tuesday,April,no,,official_2024_printable_schedule_pdf
RCT_2024_017,2024-04-24,2024,TNS,Tennessee Smokies,Home,11:05 AM CT,Wednesday,April,no,,official_2024_printable_schedule_pdf
RCT_2024_018,2024-04-25,2024,TNS,Tennessee Smokies,Home,6:35 PM CT,Thursday,April,no,,official_2024_printable_schedule_pdf
RCT_2024_019,2024-04-26,2024,TNS,Tennessee Smokies,Home,6:35 PM CT,Friday,April,yes,fireworks,official_2024_printable_schedule_pdf
RCT_2024_020,2024-04-27,2024,TNS,Tennessee Smokies,Home,6:35 PM CT,Saturday,April,yes,fireworks,official_2024_printable_schedule_pdf
