metric,value
fan_engagement_rows,135112
unique_engaged_fans,20505
game_linked_engagement_rows,132579
non_game_campaign_engagement_rows,2533
average_engagement_score,26.54
engagement_type_count_concession_offer_click,1551
engagement_type_count_email_click,15008
engagement_type_count_email_open,76527
engagement_type_count_group_interest_form,284
engagement_type_count_merch_offer_click,982
engagement_type_count_premium_interest_form,5901
engagement_type_count_qr_scan,14861
engagement_type_count_sms_click,8293
engagement_type_count_survey_response,11705
engagement_channel_count_email,105773
engagement_channel_count_in_park,14861
engagement_channel_count_sms,8293
engagement_channel_count_web,6185
