metric,value
follow_up_opportunity_rows,52416
crm_follow_up_task_rows,15000
fan_opportunity_rows,51306
account_opportunity_rows,1110
high_priority_opportunities,32607
medium_priority_opportunities,12762
monitor_priority_opportunities,7047
low_priority_opportunities,0
opportunity_type_count_family_pack_offer,8641
opportunity_type_count_group_renewal,751
opportunity_type_count_group_upsell,359
opportunity_type_count_high_in_park_spender,331
opportunity_type_count_lapsed_fan_winback,2143
opportunity_type_count_premium_upgrade,11762
opportunity_type_count_theme_night_repeat_offer,6186
opportunity_type_count_valuable_no_show_recovery,22243
crm_task_team_count_sales,4791
crm_task_team_count_service,10209
