account_id,account_name,account_type,account_owner,industry,city,zip_code,first_purchase_date,last_purchase_date,renewal_status,corporate_prospect_flag,synthetic_data_flag
ACCT_00001,Synthetic School Account 0001,school,Sales Rep A,education,Hazel Green,35750,2023-04-08,2024-08-09,active,True,True
ACCT_00002,Synthetic Corporate Account 0002,corporate,Business Development Rep,manufacturing,Madison,35758,2023-05-18,2025-05-27,active,True,True
ACCT_00003,Synthetic Corporate Account 0003,corporate,Business Development Rep,finance,Decatur,35601,2024-06-23,2025-05-09,active,True,True
ACCT_00004,Synthetic Corporate Account 0004,corporate,Sales Rep B,technology,Huntsville,35801,2024-05-25,2025-08-29,active,True,True
ACCT_00005,Synthetic Nonprofit Account 0005,nonprofit,Group Sales Rep A,nonprofit,Owens Cross Roads,35763,2024-05-07,2025-08-31,new,False,True
ACCT_00006,Synthetic School Account 0006,school,Group Sales Rep B,education,Florence,35630,2023-08-10,2024-06-06,active,False,True
ACCT_00007,Synthetic School Account 0007,school,Group Sales Rep A,education,Huntsville,35801,2023-08-10,2024-07-05,renewal_target,False,True
ACCT_00008,Synthetic School Account 0008,school,Group Sales Rep B,education,Meridianville,35759,2023-05-16,2024-06-09,active,False,True
ACCT_00009,Synthetic Local Business Account 0009,local_business,Group Sales Rep B,restaurant,Cullman,35055,2025-05-29,2025-06-13,renewal_target,True,True
ACCT_00010,Synthetic Church Account 0010,church,Sales Rep C,faith_community,Harvest,35749,2023-05-05,2024-04-11,new,True,True
ACCT_00011,Synthetic School Account 0011,school,Group Sales Rep B,education,Madison,35758,2024-04-11,2025-05-11,lapsed,False,True
ACCT_00012,Synthetic Church Account 0012,church,Sales Rep C,faith_community,Athens,35611,2024-09-03,2025-06-14,lapsed,False,True
ACCT_00013,Synthetic Corporate Account 0013,corporate,Sales Rep A,finance,Huntsville,35801,2023-09-09,2024-08-08,active,True,True
ACCT_00014,Synthetic Corporate Account 0014,corporate,Sales Rep A,finance,Cullman,35055,2023-05-17,2025-07-01,renewal_target,True,True
ACCT_00015,Synthetic Corporate Account 0015,corporate,Sales Rep B,professional_services,Meridianville,35759,2025-06-14,2025-07-02,new,True,True
ACCT_00016,Synthetic Nonprofit Account 0016,nonprofit,Business Development Rep,nonprofit,Hazel Green,35750,2024-06-07,2024-06-21,renewal_target,False,True
ACCT_00017,Synthetic Corporate Account 0017,corporate,Sales Rep A,technology,Florence,35630,2025-06-01,2025-07-01,active,True,True
ACCT_00018,Synthetic School Account 0018,school,Group Sales Rep A,education,Owens Cross Roads,35763,2024-06-19,2024-09-04,renewal_target,False,True
ACCT_00019,Synthetic Church Account 0019,church,Group Sales Rep B,faith_community,Huntsville,35801,2024-07-28,2025-06-11,new,False,True
ACCT_00020,Synthetic Community Group Account 0020,community_group,Group Sales Rep B,community,Huntsville,35801,2023-05-05,2023-05-23,new,False,True
ACCT_00021,Synthetic Youth Sports Account 0021,youth_sports,Sales Rep C,youth_sports,Owens Cross Roads,35763,2024-06-08,2025-07-01,lapsed,False,True
ACCT_00022,Synthetic Youth Sports Account 0022,youth_sports,Business Development Rep,youth_sports,Meridianville,35759,2023-08-27,2024-06-09,renewal_target,False,True
ACCT_00023,Synthetic Community Group Account 0023,community_group,Sales Rep C,community,Huntsville,35801,2023-06-24,2025-04-08,lapsed,False,True
ACCT_00024,Synthetic School Account 0024,school,Group Sales Rep A,education,Athens,35611,2023-05-18,2025-04-26,active,False,True
ACCT_00025,Synthetic Youth Sports Account 0025,youth_sports,Business Development Rep,youth_sports,Meridianville,35759,2025-08-15,2025-09-12,active,False,True
ACCT_00026,Synthetic School Account 0026,school,Sales Rep B,education,Madison,35758,2025-06-17,2025-09-14,active,False,True
ACCT_00027,Synthetic Youth Sports Account 0027,youth_sports,Group Sales Rep A,youth_sports,Decatur,35601,2023-08-22,2024-06-08,active,False,True
