group_sale_id,account_id,game_id,order_id,group_ticket_quantity,group_ticket_revenue,group_type,event_type,renewal_flag,upsell_flag,group_scan_rate,synthetic_data_flag
GRP_0000001,ACCT_00290,TP_2024_009,ORD_00339566,75,1034.09,school,school_night,True,False,0.8800,True
GRP_0000002,ACCT_00403,TP_2024_049,ORD_00339567,32,579.28,corporate,group_outing,True,True,0.9375,True
GRP_0000003,ACCT_00393,TP_2025_063,ORD_00339568,35,544.14,school,school_night,True,False,0.8000,True
GRP_0000004,ACCT_00539,TP_2025_061,ORD_00339569,35,387.15,corporate,group_outing,False,True,0.9714,True
GRP_0000005,ACCT_00787,TP_2024_035,ORD_00339570,23,291.42,church,group_outing,False,False,0.9130,True
GRP_0000006,ACCT_00800,TP_2023_016,ORD_00339571,23,234.38,community_group,school_night,False,False,0.7826,True
GRP_0000007,ACCT_00398,TP_2024_012,ORD_00339572,35,489.88,youth_sports,group_outing,False,False,0.9143,True
GRP_0000008,ACCT_00954,TP_2023_035,ORD_00339573,43,841.33,school,fundraiser,True,False,0.7907,True
GRP_0000009,ACCT_00005,TP_2023_069,ORD_00339574,47,373.74,nonprofit,community_night,False,False,0.7660,True
GRP_0000010,ACCT_00782,TP_2023_001,ORD_00339575,77,1374.58,youth_sports,youth_sports_night,False,False,0.8961,True
GRP_0000011,ACCT_00587,TP_2023_030,ORD_00339576,63,606.59,church,community_night,False,False,0.8413,True
GRP_0000012,ACCT_00708,TP_2025_047,ORD_00339577,86,996.37,corporate,team_event,True,True,0.8488,True
GRP_0000013,ACCT_00464,TP_2025_006,ORD_00339578,25,629.99,corporate,corporate_night,False,False,0.6800,True
GRP_0000014,ACCT_00375,TP_2024_052,ORD_00339579,64,1041.85,local_business,church_night,False,True,0.8125,True
GRP_0000015,ACCT_00752,TP_2023_022,ORD_00339580,65,656.69,community_group,fundraiser,True,False,0.7538,True
GRP_0000016,ACCT_01056,TP_2024_018,ORD_00339581,41,396.26,church,church_night,True,False,0.8537,True
GRP_0000017,ACCT_00950,TP_2025_062,ORD_00339582,22,330.30,local_business,fundraiser,False,False,0.8182,True
GRP_0000018,ACCT_00383,TP_2023_057,ORD_00339583,89,722.33,corporate,group_outing,True,True,0.8539,True
GRP_0000019,ACCT_00052,TP_2025_041,ORD_00339584,19,285.00,community_group,community_night,True,False,0.8421,True
GRP_0000020,ACCT_00646,TP_2025_033,ORD_00339585,55,801.60,nonprofit,fundraiser,False,False,0.8364,True
GRP_0000021,ACCT_00145,TP_2025_007,ORD_00339586,53,504.11,school,group_outing,False,False,0.9057,True
GRP_0000022,ACCT_01168,TP_2024_022,ORD_00339587,63,1334.32,corporate,group_outing,False,True,0.9365,True
GRP_0000023,ACCT_00463,TP_2025_003,ORD_00339588,61,443.18,local_business,church_night,False,True,0.9016,True
GRP_0000024,ACCT_00964,TP_2025_062,ORD_00339589,52,811.60,corporate,team_event,True,True,0.8462,True
GRP_0000025,ACCT_00622,TP_2024_017,ORD_00339590,41,381.65,youth_sports,youth_sports_night,False,False,0.9268,True
GRP_0000026,ACCT_00683,TP_2025_039,ORD_00339591,44,596.45,corporate,corporate_night,False,True,0.9091,True
GRP_0000027,ACCT_00569,TP_2025_028,ORD_00339592,87,1127.28,school,school_night,True,False,0.7816,True
GRP_0000028,ACCT_00325,TP_2025_063,ORD_00339593,57,774.88,youth_sports,youth_sports_night,False,False,0.8596,True
GRP_0000029,ACCT_00285,TP_2024_062,ORD_00339594,91,1615.84,youth_sports,youth_sports_night,True,False,0.9011,True
GRP_0000030,ACCT_00448,TP_2024_066,ORD_00339595,27,475.36,youth_sports,youth_sports_night,True,False,0.8889,True
GRP_0000031,ACCT_01016,TP_2023_043,ORD_00339596,45,833.29,corporate,corporate_night,False,True,0.8889,True
GRP_0000032,ACCT_00993,TP_2023_028,ORD_00339597,70,722.36,healthcare,community_night,False,False,0.7286,True
GRP_0000033,ACCT_00106,TP_2023_058,ORD_00339598,23,180.39,nonprofit,group_outing,False,False,0.8696,True
GRP_0000034,ACCT_00752,TP_2023_048,ORD_00339599,23,619.54,community_group,community_night,False,False,0.6522,True
GRP_0000035,ACCT_00682,TP_2025_033,ORD_00339600,90,1297.11,youth_sports,youth_sports_night,True,False,0.8667,True
GRP_0000036,ACCT_00370,TP_2025_047,ORD_00339601,30,263.18,nonprofit,team_event,False,False,0.7333,True
GRP_0000037,ACCT_00276,TP_2023_026,ORD_00339602,51,510.19,church,church_night,False,False,0.9412,True
GRP_0000038,ACCT_00812,TP_2025_017,ORD_00339603,27,207.69,community_group,community_night,True,False,0.7778,True
GRP_0000039,ACCT_00346,TP_2023_038,ORD_00339604,103,3056.08,school,fundraiser,True,False,0.9126,True
GRP_0000040,ACCT_00684,TP_2025_033,ORD_00339605,35,287.93,church,church_night,True,False,0.9714,True
GRP_0000041,ACCT_00926,TP_2023_067,ORD_00339606,104,1101.63,school,group_outing,True,False,0.9231,True
GRP_0000042,ACCT_00844,TP_2024_061,ORD_00339607,42,404.37,community_group,team_event,False,False,0.8095,True
GRP_0000043,ACCT_00766,TP_2025_030,ORD_00339608,43,995.18,nonprofit,church_night,True,False,0.7209,True
GRP_0000044,ACCT_00317,TP_2024_048,ORD_00339609,51,906.36,corporate,group_outing,False,True,0.7843,True
