metric,value
group_account_rows,1200
group_sales_rows,3600
total_group_tickets,190669
total_group_revenue,2603410.24
average_group_ticket_quantity,52.96
renewal_flag_count,2307
upsell_flag_count,869
account_type_count_church,147
account_type_count_community_group,115
account_type_count_corporate,274
account_type_count_healthcare,47
account_type_count_local_business,98
account_type_count_nonprofit,114
account_type_count_school,219
account_type_count_youth_sports,186
group_sale_count_church,442
group_sale_count_community_group,318
group_sale_count_corporate,858
group_sale_count_healthcare,143
group_sale_count_local_business,323
group_sale_count_nonprofit,323
group_sale_count_school,637
group_sale_count_youth_sports,556
