metric,value
merch_transaction_rows,45557
total_merch_net_sales,1765481.28
fan_matched_merch_transactions,31174
fan_match_share,0.6843
average_net_sales_per_transaction,38.75
item_category_count_apparel,9739
item_category_count_collectible,897
item_category_count_hat,11832
item_category_count_jersey,1899
item_category_count_kids,4983
item_category_count_novelty,4053
item_category_count_souvenir,8099
item_category_count_theme_item,4055
channel_count_kiosk,13570
channel_count_mobile,6897
channel_count_online,4551
channel_count_stadium_store,20539
