metric,value
sponsorship_activation_rows,93
unique_sponsors,64
games_with_sponsor_activation,86
promo_linked_activations,92
sponsor_category_count_auto,9
sponsor_category_count_banking,9
sponsor_category_count_education,8
sponsor_category_count_grocery,9
sponsor_category_count_healthcare,20
sponsor_category_count_insurance,5
sponsor_category_count_local_business,13
sponsor_category_count_nonprofit,4
sponsor_category_count_restaurant,12
sponsor_category_count_technology,4
activation_type_count_community,10
activation_type_count_concourse_table,19
activation_type_count_digital,9
activation_type_count_giveaway,5
activation_type_count_hospitality,12
activation_type_count_on_field_recognition,11
activation_type_count_signage,17
activation_type_count_theme_night,10
activation_goal_count_awareness,27
activation_goal_count_brand_affinity,10
activation_goal_count_community,18
activation_goal_count_hospitality,8
activation_goal_count_lead_capture,16
activation_goal_count_sales,14
