metric,value
ticket_order_rows,343165
ticket_order_item_rows,343165
total_ticket_quantity,1274234
total_net_ticket_revenue,21319575.21
average_ticket_quantity_per_order,3.71
order_count_comp,10728
ticket_quantity_comp,27823
order_count_group,3600
ticket_quantity_group,190669
order_count_mini_plan,56489
ticket_quantity_mini_plan,209167
order_count_premium,26102
ticket_quantity_premium,105789
order_count_season_ticket,27921
ticket_quantity_season_ticket,62875
order_count_single_game,218325
ticket_quantity_single_game,677911
