fan_id,household_id,fan_segment,city,state,acquisition_channel,total_orders,total_tickets,total_revenue,group_orders,group_tickets,group_revenue,avg_tickets_per_order,group_sales_score,upgrade_potential_score,days_since_last_game,email_opt_in,sms_opt_in,recommended_crm_action,group_sales_priority,recommended_contact_channel
FAN0000032,HH0000032,corporate_group,Madison,AL,ticket_rep,13,503,10209.87,13,503,10209.87,38.69,100,85,144,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0000811,HH0000811,corporate_group,Madison,AL,group_sales_rep,11,469,9678.49,11,469,9678.49,42.64,100,85,156,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0002290,HH0002290,corporate_group,Madison,AL,ticket_rep,11,453,9336.54,11,453,9336.54,41.18,100,85,478,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0001937,HH0001937,corporate_group,Athens,AL,group_sales_rep,10,431,8678.92,10,431,8678.92,43.10,100,85,43,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0002177,HH0002177,corporate_group,Huntsville,AL,sponsorship_relationship,11,403,7984.91,11,403,7984.91,36.64,100,85,29,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0004069,HH0004069,corporate_group,Huntsville,AL,sponsorship_relationship,10,387,7884.17,10,387,7884.17,38.70,100,85,16,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0000370,HH0000370,corporate_group,Madison,AL,sponsorship_relationship,11,382,7803.77,11,382,7803.77,34.73,100,85,378,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0000625,HH0000625,corporate_group,Nashville,TN,sponsorship_relationship,10,383,7758.65,10,383,7758.65,38.30,100,85,33,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0000382,HH0000382,corporate_group,Huntsville,AL,ticket_rep,10,395,7685.43,10,395,7685.43,39.50,100,85,415,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0000666,HH0000666,corporate_group,Meridianville,AL,group_sales_rep,9,357,7048.82,9,357,7048.82,39.67,100,85,32,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0006247,HH0006247,corporate_group,Huntsville,AL,group_sales_rep,9,352,6931.91,9,352,6931.91,39.11,100,85,94,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0009726,HH0009726,corporate_group,Madison,AL,group_sales_rep,6,325,6698.93,6,325,6698.93,54.17,100,75,375,0,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Rep Call / Manual Research
FAN0000237,HH0000237,corporate_group,Huntsville,AL,sponsorship_relationship,8,323,6685.49,8,323,6685.49,40.38,100,85,852,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0004384,HH0004384,corporate_group,Harvest,AL,ticket_rep,8,312,6473.18,8,312,6473.18,39.00,100,85,92,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0014604,HH0014604,corporate_group,Madison,AL,sponsorship_relationship,8,313,6445.13,8,313,6445.13,39.13,100,85,108,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0002498,HH0002498,corporate_group,Huntsville,AL,sponsorship_relationship,8,311,6360.54,8,311,6360.54,38.88,100,85,126,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0003693,HH0003693,corporate_group,Chattanooga,TN,sponsorship_relationship,7,315,6331.59,7,315,6331.59,45.00,100,85,747,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0008438,HH0008438,corporate_group,Madison,AL,ticket_rep,6,308,6308.73,6,308,6308.73,51.33,100,85,91,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0006727,HH0006727,corporate_group,Madison,AL,group_sales_rep,7,307,6268.64,7,307,6268.64,43.86,100,85,92,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0002543,HH0002543,corporate_group,Huntsville,AL,ticket_rep,8,313,6216.78,8,313,6216.78,39.13,100,85,435,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0003470,HH0003470,corporate_group,Chattanooga,TN,ticket_rep,8,305,6212.12,8,305,6212.12,38.13,100,85,381,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0010926,HH0010926,corporate_group,Madison,AL,sponsorship_relationship,8,308,6151.76,8,308,6151.76,38.50,100,85,436,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0028834,HH0028834,corporate_group,Athens,AL,ticket_rep,7,309,6104.11,7,309,6104.11,44.14,100,85,142,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0016759,HH0016759,corporate_group,Madison,AL,ticket_rep,7,311,6071.09,7,311,6071.09,44.43,100,75,437,0,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Rep Call / Manual Research
FAN0015420,HH0015420,corporate_group,Decatur,AL,group_sales_rep,7,297,6071.02,7,297,6071.02,42.43,100,85,17,1,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0000397,HH0000397,corporate_group,Madison,AL,ticket_rep,7,297,6006.13,7,297,6006.13,42.43,100,85,851,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0011271,HH0011271,corporate_group,Huntsville,AL,ticket_rep,8,303,5925.31,8,303,5925.31,37.88,100,85,464,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0003687,HH0003687,corporate_group,Decatur,AL,ticket_rep,6,296,5884.54,6,296,5884.54,49.33,100,85,33,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0008192,HH0008192,corporate_group,Huntsville,AL,ticket_rep,7,278,5814.06,7,278,5814.06,39.71,100,75,28,0,1,Group Sales Follow-Up,Priority 1: Rep Follow-Up,SMS
FAN0010084,HH0010084,corporate_group,Chattanooga,TN,ticket_rep,8,293,5790.31,8,293,5790.31,36.63,100,85,94,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0003777,HH0003777,corporate_group,Birmingham,AL,group_sales_rep,8,283,5694.32,8,283,5694.32,35.38,100,85,108,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0006712,HH0006712,corporate_group,Madison,AL,group_sales_rep,7,280,5636.82,7,280,5636.82,40.00,100,85,33,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0006313,HH0006313,corporate_group,Huntsville,AL,sponsorship_relationship,8,289,5540.29,8,289,5540.29,36.13,100,85,142,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
FAN0004986,HH0004986,corporate_group,Athens,AL,ticket_rep,8,277,5539.90,8,277,5539.90,34.63,100,85,14,1,0,Group Sales Follow-Up,Priority 1: Rep Follow-Up,Email
